Scientific Name,Common Name,Duration,Habit,Sun,Water,State Code
Rhus glabra,Smooth Sumac,Perennial,Shrub,"Sun, Shade, Part-shade",Dry,MN
Rhus typhina,"Staghorn Sumac, Velvet Sumac",Perennial,"Shrub, Tree","Sun, Shade, Part-shade",Dry,MN
Rosa blanda,"Smooth Rose, Early Wild Rose",Perennial,Shrub,Sun,Dry,MN
Rudbeckia hirta,"Black-eyed Susan, Common Black-eyed Susan, Brown-eyed Susan, Blackeyed Susan","Annual, Biennial, Perennial",Herb,Sun,"Moist, Dry",MN
Salix discolor,"Pussy Willow, Glaucous Willow",Perennial,Shrub,Sun,Moist,MN
Sanguinaria canadensis,Bloodroot,Perennial,Herb,"Shade, Part-shade","Wet, Moist",MN
Schizachyrium scoparium,"Little Bluestem, Popotillo Azul",Perennial,Grass/Grass-like,"Sun, Part-shade",Dry,MN
Shepherdia argentea,"Silver Buffaloberry, Buffaloberry",Perennial,Shrub,Sun,"Moist, Dry",MN
Silphium laciniatum,"Compassplant, Compass Plant",Perennial,Herb,Sun,Dry,MN
Silphium perfoliatum,"Cup Plant, Indian Cup",Perennial,Herb,Sun,"Wet, Moist, Dry",MN
Silphium terebinthinaceum,"Prairie Rosinweed, Prairie Dock",Perennial,Herb,Sun,"Wet, Moist",MN
Sisyrinchium campestre,"Prairie Blue-eyed Grass, White-eyed Grass",Perennial,Herb,Sun,"Moist, Dry",MN
Solidago nemoralis,"Gray Goldenrod, Prairie Goldenrod, Oldfield Goldenrod, Grayleaf Goldenrod, Gray-leaved Goldenrod, Dyersweed Goldenrod, Dwarf Goldenrod, Field Goldenrod",Perennial,Herb,"Sun, Shade, Part-shade",Dry,MN
Solidago speciosa,"Showy Goldenrod, Noble Goldenrod",Perennial,Herb,Part-shade,Moist,MN
Solidago ulmifolia,"Elmleaf Goldenrod, Elm-leaved Goldenrod",Perennial,Herb,Sun,Dry,MN
Sorghastrum nutans,"Indiangrass, Yellow Indiangrass, Indian Grass",Perennial,Grass/Grass-like,"Sun, Shade, Part-shade","Moist, Dry",MN
Spartina pectinata,"Prairie Cordgrass, Freshwater Cordgrass, Sloughgrass",Perennial,Grass/Grass-like,Sun,Wet,MN
Spiraea alba,White Meadowsweet,Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist",MN
Sporobolus heterolepis,Prairie Dropseed,Perennial,Grass/Grass-like,Sun,Dry,MN
Staphylea trifolia,American Bladdernut,Perennial,Shrub,Shade,Moist,MN
Symphoricarpos albus,Common Snowberry,Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",MN
Symphyotrichum ericoides,"White Heath Aster, Heath Aster",Perennial,Herb,Sun,Dry,MN
Thalictrum dasycarpum,"Purple Meadow-rue, Tall Meadow-rue, Meadow Rue",Perennial,Herb,Part-shade,"Wet, Moist",MN
Thalictrum dioicum,Early Meadow-rue,Perennial,Herb,Part-shade,Moist,MN
Thuja occidentalis,"Arborvitae, Eastern Arborvitae, Northern White Cedar",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MN
Tilia americana,"American Basswood, American Linden, Lime Tree, Bee Tree",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MN
Tradescantia ohiensis,"Ohio Spiderwort, Bluejacket",Perennial,Herb,Part-shade,Dry,MN
Tsuga canadensis,Eastern Hemlock,Perennial,Tree,"Shade, Part-shade",Moist,MN
Typha latifolia,"Broadleaf Cattail, Common Cattail",Perennial,Grass/Grass-like,"Sun, Part-shade",Wet,MN
Uvularia grandiflora,"Largeflower Bellwort, Large-flower Bellwort, Merrybells",Perennial,Herb,Shade,Moist,MN
Uvularia sessilifolia,"Spreading Bellwort, Straw Lily, Wild Oats, Merrybells, Sessile-leaf Bellwort, Sessile Bellwort",Perennial,Herb,"Sun, Shade, Part-shade",Moist,MN
Vaccinium angustifolium,"Lowbush Blueberry, Late Lowbush Blueberry",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",MN
Verbena hastata,"Swamp Verbena, Blue Verbena, Blue Vervain, Simpler's Joy",Biennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",MN
Vernonia fasciculata,"Prairie Ironweed, Common Ironweed",Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",MN
Veronicastrum virginicum,Culver's Root,Perennial,Herb,"Sun, Part-shade",Moist,MN
Viburnum opulus var. americanum,"American Cranberry Bush, Highbush Cranberry, American Cranberrybush Viburnum, Cranberry Viburnum",Perennial,Shrub,Part-shade,"Wet, Moist",MN
Viola pedata,"Birdfoot Violet, Bird's-foot Violet, Bird-foot Violet",Perennial,Herb,"Shade, Part-shade",Dry,MN
Viola sororia,"Missouri Violet, Common Blue Violet, Hooded Blue Violet, Florida Violet, Meadow Violet, Confederate Violet, Dooryard Violet, Purple Violet, Woolly Blue Violet, Wood Violet, Hooded Violet",Annual,Herb,"Sun, Part-shade",Moist,MN
Zizia aptera,"Heart-leaved Meadow Parsnip, Heartleaf Meadow Parsnip, Meadow Parsnip, Heartleaf Alexanders, Meadow Zizia, Zizia",Perennial,Herb,"Sun, Shade, Part-shade",Moist,MN
Zizia aurea,"Golden Zizia, Golden Alexanders",Perennial,Herb,"Sun, Part-shade",Moist,MN
Acer rubrum,"Red Maple, Scarlet Maple, Soft Maple",Perennial,Tree,"Sun, Part-shade",Moist,MO
Acer saccharinum,"Silver Maple, Soft Maple, White Maple",Perennial,Tree,"Sun, Shade, Part-shade",Moist,MO
Acer saccharum,"Sugar Maple, Northern Sugar Maple",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Actaea pachypoda,"White Baneberry, Dolls Eyes",Perennial,Herb,"Shade, Part-shade","Wet, Moist",MO
Adiantum pedatum,"Northern Maidenhair Fern, Maidenhair Fern",Perennial,Fern,"Shade, Part-shade",Moist,MO
Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Perennial,Tree,"Sun, Shade, Part-shade",Moist,MO
Allium canadense,"Meadow Garlic, Wild Garlic, Wild Onion",Perennial,Grass/Grass-like,Sun,Moist,MO
Allium stellatum,"Autumn Onion, Prairie Onion",Perennial,Herb,Part-shade,Moist,MO
Amelanchier arborea,"Common Serviceberry, Downy Serviceberry, Shadbush, Juneberry, Junebush, Shadblow, Sarvis",Perennial,Tree,"Sun, Shade, Part-shade",Dry,MO
Amorpha canescens,"Leadplant, Leadplant Amorpha, Prairie Shoestring",Perennial,Shrub,"Sun, Part-shade",Dry,MO
Amorpha fruticosa,"Indigo Bush, False Indigo Bush, False Indigo, Desert False Indigo",Perennial,Shrub,"Sun, Part-shade",Moist,MO
Andropogon gerardii,"Big Bluestem, Tall Bluestem, Turkeyfoot",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist,MO
Anemone canadensis,"Canadian Anemone, Round-leaf Thimbleweed, Canada Anemone, Windflower, Meadow Anemone",Perennial,Herb,"Shade, Part-shade",Moist,MO
Aquilegia canadensis,"Eastern Red Columbine, Wild Red Columbine",Perennial,Herb,"Shade, Part-shade","Moist, Dry",MO
Arisaema triphyllum,"Jack In The Pulpit, Indian Jack In The Pulpit, Jack-in-the-pulpit",Perennial,Herb,"Sun, Shade","Wet, Moist",MO
Asarum canadense,"Canadian Wild Ginger, Wild Ginger",Perennial,Herb,"Shade, Part-shade",Moist,MO
Asclepias incarnata,"Swamp Milkweed, Pink Milkweed",Perennial,Herb,"Sun, Part-shade","Wet, Moist",MO
Asclepias tuberosa,"Butterflyweed, Butterfly Weed, Butterfly Milkweed, Orange Milkweed, Pleurisy Root, Chigger Flower, Chiggerweed",Perennial,Herb,Sun,"Moist, Dry",MO
Asclepias verticillata,"Whorled Milkweed, Eastern Whorled Milkweed",Perennial,Herb,"Sun, Part-shade",Dry,MO
Athyrium filix-femina,"Common Lady Fern, Subarctic Lady Fern, Lady Fern, Ladyfern",Perennial,"Herb, Fern","Shade, Part-shade","Wet, Moist",MO
Baptisia alba,"White Wild Indigo, White Baptisia",Perennial,Herb,Sun,"Moist, Dry",MO
Baptisia bracteata var. leucophaea,"Longbract Wild Indigo, Cream False Indigo, Plains Wild Indigo, Cream Wild Indigo, Large-bracted Wild Indigo",Perennial,Herb,Part-shade,Moist,MO
Betula nigra,"River Birch, Red Birch, Black Birch, Water Birch",Perennial,Tree,Part-shade,Moist,MO
Bouteloua curtipendula,"Sideoats Grama, Banderilla, Banderita, Navajita",Perennial,Grass/Grass-like,"Sun, Part-shade","Moist, Dry",MO
Bouteloua gracilis,Blue Grama,Perennial,Grass/Grass-like,Sun,Dry,MO
Calamagrostis canadensis,Bluejoint,Perennial,Grass/Grass-like,"Sun, Shade, Part-shade","Wet, Moist",MO
Callirhoe involucrata,"Winecup, Purple Poppy Mallow",Perennial,Herb,"Sun, Part-shade","Moist, Dry",MO
Campanulastrum americanum,"American Bellflower, Tall Bellflower",Annual,Herb,Part-shade,Moist,MO
Carex pensylvanica,Pennsylvania Sedge,Perennial,Grass/Grass-like,"Sun, Shade, Part-shade",Dry,MO
Carex stipata,"Awlfruit Sedge, Awl-fruited Sedge, Stalk-grain Sedge",Perennial,Grass/Grass-like,Sun,"Wet, Moist",MO
Carpinus caroliniana,"American Hornbeam, Blue Beech, Water Beech, Musclewood, Ironwood",Perennial,Tree,"Shade, Part-shade",Moist,MO
Carya ovata,"Shagbark Hickory, Carolina Hickory, Scalybark Hickory, Upland Hickory, Shellbark Hickory",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Catalpa speciosa,"Northern Catalpa, Catalpa Tree, Cigar Tree, Indian Bean",Perennial,Tree,Part-shade,Moist,MO
Ceanothus americanus,"New Jersey Tea, Redroot",Perennial,Shrub,"Sun, Part-shade","Moist, Dry",MO
Celastrus scandens,American Bittersweet,Perennial,Vine,"Sun, Shade, Part-shade","Moist, Dry",MO
Celtis occidentalis,"Common Hackberry, Northern Hackberry, American Hackberry, Nettle Tree, Beaverwood, False Elm",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Cephalanthus occidentalis,"Common Buttonbush, Buttonbush, Button Willow, Honey Bells, Honeybells, Honey Balls, Honeyballs, Button-bush",Perennial,Shrub,"Shade, Part-shade","Wet, Moist",MO
Cercis canadensis,"Eastern Redbud, Redbud",Perennial,Tree,"Shade, Part-shade",Moist,MO
Chamaecrista fasciculata,"Partridge Pea, Sleepingplant, Sensitive Plant",Annual,Herb,"Sun, Part-shade","Moist, Dry",MO
Coreopsis lanceolata,"Lanceleaf Coreopsis, Lance-leaved Coreopsis, Lanceleaf Tickseed, Sand Coreopsis",Perennial,Herb,"Sun, Shade, Part-shade",Dry,MO
Coreopsis palmata,"Stiff Tickseed, Stiff Coreopsis, Finger Coreopsis",Perennial,Herb,Part-shade,,MO
Cornus alternifolia,"Alternateleaf Dogwood, Alternate-leaf Dogwood, Pagoda Dogwood",Perennial,Shrub,"Shade, Part-shade",Moist,MO
Cornus obliqua,"Silky Dogwood, Pale Dogwood, Swamp Dogwood, Kinnikinnik",Perennial,Shrub,"Shade, Part-shade",Moist,MO
Cornus racemosa,Gray Dogwood,Perennial,Shrub,"Sun, Shade, Part-shade",Moist,MO
Corylus americana,"American Hazelnut, American Filbert",Perennial,Shrub,"Shade, Part-shade","Moist, Dry",MO
Crataegus crus-galli,"Cockspur Hawthorn, Cockspur Thorn, Newcastle Hawthorn, Newcastle Thorn, Hog Apple",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Crataegus mollis,"Downy Hawthorn, White Thorn, Whitethorn, Scarlet Hawthorn, Scarlet Haw, Red Haw, Downy Thorn",Perennial,"Shrub, Tree","Sun, Shade, Part-shade","Moist, Dry",MO
Desmodium canadense,Showy Tick Trefoil,Perennial,Herb,Sun,"Moist, Dry",MO
Dicentra cucullaria,Dutchman's Breeches,Perennial,Herb,"Sun, Shade, Part-shade",Moist,MO
Dirca palustris,"Eastern Leatherwood, Western Leatherwood, Ropebark, Wicopy",Perennial,Shrub,"Shade, Part-shade","Moist, Dry",MO
Dodecatheon meadia,"Eastern Shooting Star, Shooting Star, Pride Of Ohio, Roosterheads, Prairie Pointers",Perennial,Herb,Part-shade,Moist,MO
Echinacea purpurea,"Eastern Purple Coneflower, Purple Coneflower",Perennial,Herb,"Sun, Part-shade",Dry,MO
Elymus canadensis,"Canada Wild Rye, Canadian Wildrye, Prairie Wildrye, Nodding Wildrye",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist,MO
Eupatorium perfoliatum,Common Boneset,Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",MO
Euphorbia corollata,Flowering Spurge,Perennial,Herb,Sun,Dry,MO
Euthamia graminifolia,"Flat-top Goldentop, Grass-leaved Goldenrod",Perennial,Herb,Sun,Moist,MO
Eutrochium purpureum,"Purple Joepyeweed, Sweet-scented Joepyeweed, Sweet Joepyeweed",Perennial,Herb,"Sun, Shade, Part-shade",Moist,MO
Fragaria virginiana,"Virginia Strawberry, Wild Strawberry",Perennial,Herb,"Sun, Part-shade",Dry,MO
Fraxinus americana,"White Ash, American Ash, Cane Ash, Smallseed White Ash, Biltmore White Ash, Biltmore Ash",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Fraxinus pennsylvanica,"Green Ash, Red Ash, Swamp Ash, River Ash, Water Ash, Darlington Ash",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist, Dry",MO
Gentiana alba,"Plain Gentian, Yellow Gentian, Cream Gentian",Perennial,Herb,Part-shade,Moist,MO
Gentiana andrewsii,"Closed Bottle Gentian, Closed Gentian, Bottle Gentian",Perennial,Herb,"Shade, Part-shade","Wet, Moist",MO
Geranium maculatum,"Spotted Geranium, Wild Geranium, Cranesbill",Perennial,Herb,"Shade, Part-shade",Moist,MO
Gymnocladus dioicus,"Kentucky Coffeetree, Stump Tree",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Hamamelis virginiana,"Witch-hazel, American Witch-hazel, Common Witch-hazel, Winterbloom, Snapping Hazelnut, Striped Alder, Spotted Alder, Tobacco-wood, Water-witch",Perennial,Tree,"Shade, Part-shade","Moist, Dry",MO
Helenium autumnale,"Common Sneezeweed, Fall Sneezeweed, Autumn Sneezeweed",Perennial,Herb,Sun,Moist,MO
Heliopsis helianthoides,"Smooth Oxeye, Oxeye Sunflower, False Sunflower",Perennial,Herb,"Sun, Part-shade",Dry,MO
Heuchera richardsonii,"Richardson's Alumroot, Prairie Alumroot",Perennial,Herb,"Sun, Part-shade",Dry,MO
Hydrophyllum virginianum,"Virginia Waterleaf, Eastern Waterleaf, Shawnee Salad",Perennial,Herb,"Shade, Part-shade",Moist,MO
Hypericum prolificum,Shrubby St. John's-wort,Perennial,Shrub,"Shade, Part-shade","Moist, Dry",MO
Iris virginica var. shrevei,"Shreve's Iris, Virginia Iris, Southern Blue Flag, Blue Flag",Perennial,Herb,Sun,Wet,MO
Juglans nigra,"Black Walnut, Eastern Black Walnut, American Black Walnut",Perennial,Tree,"Sun, Part-shade",Moist,MO
Juniperus virginiana,"Eastern Red Cedar, Eastern Redcedar, Virginia Juniper, Red Juniper, Pencil Cedar, Carolina Cedar, Red Savin",Perennial,Tree,"Sun, Shade, Part-shade",Dry,MO
Koeleria macrantha,"Prairie Junegrass, Junegrass, Prairie Koeler's Grass",Perennial,Grass/Grass-like,Sun,Dry,MO
Lespedeza capitata,"Roundhead Lespedeza, Roundhead Bush-clover, Round-headed Lespedeza, Round-headed Bush-clover",Perennial,Herb,Sun,Dry,MO
Liatris aspera,"Tall Blazing Star, Tall Gayfeather, Tall Liatris, Rough Blazing Star, Rough Gayfeather, Rough Liatris, Button Snakeroot",Perennial,Herb,Sun,Dry,MO
Liatris cylindracea,"Ontario Blazing Star, Ontario Gayfeather, Ontario Liatris, Dwarf Blazing Star, Dwarf Gayfeather, Dwarf Liatris",Perennial,Herb,Sun,Dry,MO
Liatris pycnostachya,"Prairie Blazing Star, Prairie Gayfeather, Prairie Liatris, Kansas Blazing Star, Kansas Gayfeather, Kansas Liatris, Cat-tail Blazing Star, Cat-tail Gayfeather, Cat-tail Liatris, Hairy Button-snakeroot",Perennial,Herb,Sun,"Moist, Dry",MO
Lilium michiganense,"Michigan Lily, Turk's Cap Lily",Perennial,Herb,"Sun, Shade, Part-shade",Moist,MO
Lobelia cardinalis,Cardinal Flower,Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",MO
Lobelia siphilitica,Great Blue Lobelia,Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",MO
Maianthemum racemosum ssp. racemosum,"Feathery False Lily Of The Valley, False Spikenard, False Solomon's Seal, Solomon's Plume, Smilacina",Perennial,Herb,"Shade, Part-shade",Moist,MO
Malus ioensis,"Prairie Crabapple, Iowa Crabapple, Western Crabapple, Prairie Crab, Iowa Crab, Western Crab",Perennial,Tree,Sun,Moist,MO
Mertensia virginica,Virginia Bluebells,Perennial,Herb,"Shade, Part-shade",Moist,MO
Mitchella repens,"Partridgeberry, Twinberry, Running Box, Pigeon Plum",Perennial,Herb,"Shade, Part-shade","Moist, Dry",MO
Monarda fistulosa,"Wild Bergamot, Beebalm",Perennial,Herb,"Sun, Part-shade","Moist, Dry",MO
Oenothera biennis,"Common Evening-primrose, King's Cure-all, Common Evening Primrose",Biennial,Herb,"Sun, Shade, Part-shade",Dry,MO
Oenothera rhombipetala,"Fourpoint Evening-primrose, Four-point Evening Primrose, Diamond Petal Primrose, Greater Four-point Evening-primrose",Annual,Herb,"Sun, Part-shade",Dry,MO
Opuntia humifusa,"Low Prickly Pear, Smooth Prickly Pear, Devil's Tongue",Perennial,Cactus/Succulent,Sun,Dry,MO
Opuntia macrorhiza,"Bigroot Prickly Pear, Twist-spine Prickly Pear, Common Prickly Pear, Plains Prickly Pear",Perennial,Cactus/Succulent,Sun,Dry,MO
Osmorhiza claytonii,"Clayton's Sweetroot, Hairy Sweet-cicely, Sweet Jarvil",Perennial,Herb,Shade,Moist,MO
Osmunda cinnamomea,Cinnamon Fern,Perennial,"Herb, Fern","Sun, Shade, Part-shade","Wet, Moist",MO
Osmunda claytoniana,Interrupted Fern,Perennial,"Herb, Fern",Shade,Moist,MO
Ostrya virginiana,"Eastern Hop-hornbeam, American Hop-hornbeam, Woolly Hop-hornbean, Eastern Ironwood, Roughbark Ironwood, Ironwood, Deerwood, Leverwood",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Panicum virgatum,"Switchgrass, Wand Panic Grass",Perennial,Grass/Grass-like,"Sun, Part-shade","Moist, Dry",MO
Parthenocissus quinquefolia,Virginia Creeper,Perennial,Vine,"Sun, Shade, Part-shade",Moist,MO
Pascopyrum smithii,Western Wheatgrass,Perennial,Grass/Grass-like,"Sun, Part-shade",Moist,MO
Penstemon digitalis,"Mississippi Penstemon, Mississippi Beardtongue, Smooth White Penstemon, Smooth White Beardtongue, Talus Slope Penstemon, Talus Slope Beardtongue, Foxglove Penstemon, Foxglove Beardtongue",Perennial,Herb,"Sun, Part-shade","Wet, Moist, Dry",MO
Peritoma serrulata,"Rocky Mountain Bee-plant, Stinking-clover, Bee Spiderflower, Navajo Spinach, Pink Cleome, Toothed Spiderflower, Skunkweed",Annual,Herb,"Sun, Shade","Moist, Dry",MO
Phlox divaricata ssp. laphamii,"Lapham's Phlox, Blue Phlox, Sweet William",Perennial,Herb,Part-shade,,MO
Phlox pilosa,"Downy Phlox, Prairie Phlox, Fragrant Phlox",Perennial,Herb,"Sun, Part-shade",Dry,MO
Physocarpus opulifolius,"Common Ninebark, Atlantic Ninebark",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist, Dry",MO
Physostegia virginiana,"Fall Obedient Plant, False Dragonhead, Virginia Lions-heart",Perennial,Herb,"Sun, Shade, Part-shade",Moist,MO
Platanus occidentalis,"American Sycamore, Eastern Sycamore, American Plane Tree, Plane Tree, Buttonwood, Buttonball Tree",Perennial,Tree,"Sun, Shade, Part-shade",Moist,MO
Podophyllum peltatum,"Mayapple, Indian Apple, Wild Mandrake, Pomme De Mai, Podophylle Pelt",Perennial,Herb,"Shade, Part-shade",Moist,MO
Polemonium reptans,"Greek Valerian, Jacob's Ladder",Perennial,Herb,Shade,Moist,MO
Polygonatum biflorum,"Smooth Solomon's Seal, Great Solomon's-seal, Sealwort",Perennial,Herb,"Shade, Part-shade","Moist, Dry",MO
Polystichum acrostichoides,Christmas Fern,Perennial,Fern,"Shade, Part-shade",Moist,MO
Populus deltoides,"Eastern Cottonwood, Carolina Poplar, Necklace Poplar, Alamo",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist, Dry",MO
Prunus americana,"American Plum, Wild Plum",Perennial,Tree,"Sun, Shade, Part-shade",Moist,MO
Prunus serotina,"Black Cherry, Wild Black Cherry, Rum Cherry",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Prunus virginiana,"Chokecherry, Common Chokecherry, Choke Cherry",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Pycnanthemum virginianum,Virginia Mountain Mint,Perennial,Herb,Part-shade,Moist,MO
Quercus alba,"White Oak, Northern White Oak, Eastern White Oak, Stave Oak, Ridge White Oak, Forked-leaf White Oak",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Quercus bicolor,Swamp White Oak,Perennial,Tree,Part-shade,Moist,MO
Quercus macrocarpa,"Bur Oak, Burr Oak, Savanna Oak, Overcup Oak, Prairie Oak, Mossy-cup Oak, Mossy-overcup Oak, Blue Oak",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist, Dry",MO
Quercus palustris,"Pin Oak, Swamp Spanish Oak",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist",MO
Quercus rubra,Northern Red Oak,Perennial,Tree,"Sun, Part-shade","Moist, Dry",MO
Ratibida columnifera,"Mexican Hat, Red-spike Mexican Hat, Upright Prairie Coneflower, Prairie Coneflower, Long-headed Coneflower, Thimbleflower",Perennial,Herb,Sun,"Moist, Dry",MO
Ratibida pinnata,"Grayhead Coneflower, Gray-headed Coneflower, Grayhead Mexican Hat, Gray-headed Mexican Hat, Pinnate Prairie Coneflower, Yellow Coneflower",Perennial,Herb,"Sun, Part-shade","Moist, Dry",MO
Rhus aromatica,"Fragrant Sumac, Aromatic Sumac, Lemon Sumac, Polecat Bush",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",MO
Rhus glabra,Smooth Sumac,Perennial,Shrub,"Sun, Shade, Part-shade",Dry,MO
Rosa blanda,"Smooth Rose, Early Wild Rose",Perennial,Shrub,Sun,Dry,MO
Rosa setigera var. tomentosa,"Climbing Rose, Illinois Rose",Perennial,Shrub,Sun,,MO
Rudbeckia hirta,"Black-eyed Susan, Common Black-eyed Susan, Brown-eyed Susan, Blackeyed Susan","Annual, Biennial, Perennial",Herb,Sun,"Moist, Dry",MO
Rudbeckia subtomentosa,"Sweet Coneflower, Sweet Black-eyed Susan",Perennial,Herb,Part-shade,Moist,MO
Salix discolor,"Pussy Willow, Glaucous Willow",Perennial,Shrub,Sun,Moist,MO
Sanguinaria canadensis,Bloodroot,Perennial,Herb,"Shade, Part-shade","Wet, Moist",MO
Schizachyrium scoparium,"Little Bluestem, Popotillo Azul",Perennial,Grass/Grass-like,"Sun, Part-shade",Dry,MO
Silphium laciniatum,"Compassplant, Compass Plant",Perennial,Herb,Sun,Dry,MO
Silphium perfoliatum,"Cup Plant, Indian Cup",Perennial,Herb,Sun,"Wet, Moist, Dry",MO
Silphium terebinthinaceum,"Prairie Rosinweed, Prairie Dock",Perennial,Herb,Sun,"Wet, Moist",MO
Sisyrinchium campestre,"Prairie Blue-eyed Grass, White-eyed Grass",Perennial,Herb,Sun,"Moist, Dry",MO
Solidago nemoralis,"Gray Goldenrod, Prairie Goldenrod, Oldfield Goldenrod, Grayleaf Goldenrod, Gray-leaved Goldenrod, Dyersweed Goldenrod, Dwarf Goldenrod, Field Goldenrod",Perennial,Herb,"Sun, Shade, Part-shade",Dry,MO
Solidago speciosa,"Showy Goldenrod, Noble Goldenrod",Perennial,Herb,Part-shade,Moist,MO
Solidago ulmifolia,"Elmleaf Goldenrod, Elm-leaved Goldenrod",Perennial,Herb,Sun,Dry,MO
Sorghastrum nutans,"Indiangrass, Yellow Indiangrass, Indian Grass",Perennial,Grass/Grass-like,"Sun, Shade, Part-shade","Moist, Dry",MO
Spartina pectinata,"Prairie Cordgrass, Freshwater Cordgrass, Sloughgrass",Perennial,Grass/Grass-like,Sun,Wet,MO
Spiraea alba,White Meadowsweet,Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist",MO
Sporobolus heterolepis,Prairie Dropseed,Perennial,Grass/Grass-like,Sun,Dry,MO
Staphylea trifolia,American Bladdernut,Perennial,Shrub,Shade,Moist,MO
Symphoricarpos orbiculatus,"Coralberry, Indian Currant, Buckbrush",Perennial,Shrub,"Shade, Part-shade","Moist, Dry",MO
Symphyotrichum ericoides,"White Heath Aster, Heath Aster",Perennial,Herb,Sun,Dry,MO
Thalictrum dasycarpum,"Purple Meadow-rue, Tall Meadow-rue, Meadow Rue",Perennial,Herb,Part-shade,"Wet, Moist",MO
Thalictrum dioicum,Early Meadow-rue,Perennial,Herb,Part-shade,Moist,MO
Tilia americana,"American Basswood, American Linden, Lime Tree, Bee Tree",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry",MO
Tradescantia ohiensis,"Ohio Spiderwort, Bluejacket",Perennial,Herb,Part-shade,Dry,MO
Typha latifolia,"Broadleaf Cattail, Common Cattail",Perennial,Grass/Grass-like,"Sun, Part-shade",Wet,MO
Uvularia grandiflora,"Largeflower Bellwort, Large-flower Bellwort, Merrybells",Perennial,Herb,Shade,Moist,MO
Uvularia sessilifolia,"Spreading Bellwort, Straw Lily, Wild Oats, Merrybells, Sessile-leaf Bellwort, Sessile Bellwort",Perennial,Herb,"Sun, Shade, Part-shade",Moist,MO
Verbena hastata,"Swamp Verbena, Blue Verbena, Blue Vervain, Simpler's Joy",Biennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",MO
Vernonia fasciculata,"Prairie Ironweed, Common Ironweed",Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist",MO
Veronicastrum virginicum,Culver's Root,Perennial,Herb,"Sun, Part-shade",Moist,MO
Viburnum prunifolium,"Blackhaw, Smooth Blackhaw, Blackhaw Viburnum, Smooth Blackhaw Viburnum, Stagbush",Perennial,Shrub,Part-shade,Moist,MO
Viola pedata,"Birdfoot Violet, Bird's-foot Violet, Bird-foot Violet",Perennial,Herb,"Shade, Part-shade",Dry,MO
Viola sororia,"Missouri Violet, Common Blue Violet, Hooded Blue Violet, Florida Violet, Meadow Violet, Confederate Violet, Dooryard Violet, Purple Violet, Woolly Blue Violet, Wood Violet, Hooded Violet",Annual,Herb,"Sun, Part-shade",Moist,MO
Zizia aptera,"Heart-leaved Meadow Parsnip, Heartleaf Meadow Parsnip, Meadow Parsnip, Heartleaf Alexanders, Meadow Zizia, Zizia",Perennial,Herb,"Sun, Shade, Part-shade",Moist,MO
Zizia aurea,"Golden Zizia, Golden Alexanders",Perennial,Herb,"Sun, Part-shade",Moist,MO
Acer negundo,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",Perennial,Tree,Sun,Moist,MS
Acer rubrum var. drummondii,"Drummond's Maple, Drummond Red Maple, Swamp Maple",Perennial,Tree,Part-shade,"Wet, Moist",MS
Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Perennial,Herb,"Sun, Part-shade",Dry,MS
Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Perennial,"Shrub, Tree",Part-shade,Moist,MS
